    x     |           алгоритм          |   встроенная функция       |             погрешность
x =  25.0 | algorithm =    7.2004911E10 | embedded =    7.2004903E10 | relative inaccuracy =  1.1377002E-7
x =  20.0 | algorithm =    4.85165216E8 | embedded =    4.85165184E8 | relative inaccuracy =   6.595691E-8
x =  15.0 | algorithm =       3269017.5 | embedded =       3269017.2 | relative inaccuracy =   7.647558E-8
x =  10.0 | algorithm =       22026.469 | embedded =       22026.465 | relative inaccuracy =  1.7734345E-7
x =   5.0 | algorithm =        148.4132 | embedded =       148.41316 | relative inaccuracy =  2.0562578E-7
x =   1.0 | algorithm =        2.718282 | embedded =       2.7182817 | relative inaccuracy =   8.770929E-8
x =   0.0 | algorithm =             1.0 | embedded =             1.0 | relative inaccuracy =           0.0
x =  -1.0 | algorithm =       0.3678794 | embedded =      0.36787945 | relative inaccuracy =  1.6202225E-7
x =  -5.0 | algorithm =    0.0067384234 | embedded =     0.006737947 | relative inaccuracy =    7.06948E-5
x = -10.0 | algorithm =    -6.256183E-5 | embedded =     4.539993E-5 | relative inaccuracy =    -1.7256811
x = -15.0 | algorithm =      0.02123355 | embedded =    3.0590232E-7 | relative inaccuracy =    0.99998564
x = -20.0 | algorithm =      -2.7566755 | embedded =    2.0611537E-9 | relative inaccuracy =          -1.0
x = -25.0 | algorithm =        174.7128 | embedded =   1.3887944E-11 | relative inaccuracy =           1.0
