n =  2 | Pn = 3,061467 | inaccuracy = 0,026172
n =  3 | Pn = 3,121445 | inaccuracy = 0,006455
n =  4 | Pn = 3,136548 | inaccuracy = 0,001608
n =  5 | Pn = 3,140331 | inaccuracy = 0,000402
n =  6 | Pn = 3,141277 | inaccuracy = 0,000100
n =  7 | Pn = 3,141514 | inaccuracy = 0,000025
n =  8 | Pn = 3,141573 | inaccuracy = 0,000006
n =  9 | Pn = 3,141588 | inaccuracy = 0,000002
n = 10 | Pn = 3,141591 | inaccuracy = 0,000000
n = 11 | Pn = 3,141592 | inaccuracy = 0,000000
n = 12 | Pn = 3,141593 | inaccuracy = 0,000000
n = 13 | Pn = 3,141593 | inaccuracy = 0,000000
n = 14 | Pn = 3,141593 | inaccuracy = 0,000000
n = 15 | Pn = 3,141593 | inaccuracy = 0,000000
n = 16 | Pn = 3,141593 | inaccuracy = 0,000000
n = 17 | Pn = 3,141593 | inaccuracy = 0,000000
n = 18 | Pn = 3,141594 | inaccuracy = 0,000000
n = 19 | Pn = 3,141597 | inaccuracy = 0,000001
n = 20 | Pn = 3,141597 | inaccuracy = 0,000001
n = 21 | Pn = 3,141674 | inaccuracy = 0,000026
n = 22 | Pn = 3,141830 | inaccuracy = 0,000075
n = 23 | Pn = 3,142451 | inaccuracy = 0,000273
n = 24 | Pn = 3,142451 | inaccuracy = 0,000273
n = 25 | Pn = 3,162278 | inaccuracy = 0,006541
n = 26 | Pn = 3,162278 | inaccuracy = 0,006541
n = 27 | Pn = 3,464102 | inaccuracy = 0,093100
n = 28 | Pn = 4,000000 | inaccuracy = 0,214602
n = 29 | Pn = 0,000000 | inaccuracy = Infinity
n = 30 | Pn = 0,000000 | inaccuracy = Infinity
n = 31 | Pn = 0,000000 | inaccuracy = Infinity
n = 32 | Pn = 0,000000 | inaccuracy = Infinity
n = 33 | Pn = 0,000000 | inaccuracy = Infinity
n = 34 | Pn = 0,000000 | inaccuracy = Infinity
n = 35 | Pn = 0,000000 | inaccuracy = Infinity
n = 36 | Pn = 0,000000 | inaccuracy = Infinity
n = 37 | Pn = 0,000000 | inaccuracy = Infinity
n = 38 | Pn = 0,000000 | inaccuracy = Infinity
n = 39 | Pn = 0,000000 | inaccuracy = Infinity
n = 40 | Pn = 0,000000 | inaccuracy = Infinity
n = 41 | Pn = 0,000000 | inaccuracy = Infinity
n = 42 | Pn = 0,000000 | inaccuracy = Infinity
n = 43 | Pn = 0,000000 | inaccuracy = Infinity
n = 44 | Pn = 0,000000 | inaccuracy = Infinity
n = 45 | Pn = 0,000000 | inaccuracy = Infinity
n = 46 | Pn = 0,000000 | inaccuracy = Infinity
n = 47 | Pn = 0,000000 | inaccuracy = Infinity
n = 48 | Pn = 0,000000 | inaccuracy = Infinity
n = 49 | Pn = 0,000000 | inaccuracy = Infinity
n = 50 | Pn = 0,000000 | inaccuracy = Infinity
n = 51 | Pn = 0,000000 | inaccuracy = Infinity
n = 52 | Pn = 0,000000 | inaccuracy = Infinity
n = 53 | Pn = 0,000000 | inaccuracy = Infinity
n = 54 | Pn = 0,000000 | inaccuracy = Infinity
n = 55 | Pn = 0,000000 | inaccuracy = Infinity
n = 56 | Pn = 0,000000 | inaccuracy = Infinity
n = 57 | Pn = 0,000000 | inaccuracy = Infinity
n = 58 | Pn = 0,000000 | inaccuracy = Infinity
n = 59 | Pn = 0,000000 | inaccuracy = Infinity
n = 60 | Pn = 0,000000 | inaccuracy = Infinity
